Price,Close,High,Low,Open,Volume
Ticker,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST,ASSA-B.ST
Date,,,,,
2016-12-06,141.7291717529297,142.3268222812667,140.53387069625566,142.3268222812667,2844188
2016-12-07,139.9362030029297,142.07067841803112,138.99704163696748,141.21688825199055,3245125
2016-12-08,138.91165161132812,140.96075574098217,137.80172183624097,140.78998729265837,4089991
2016-12-09,142.15606689453125,142.92447285581235,138.5701506955454,138.91166156104714,4319712
2016-12-12,142.49757385253906,143.2659928205534,141.38765705619178,141.8999233403973,4022502
2016-12-13,147.44952392578125,147.7910477274794,144.71739865120077,144.80278285857554,4126346
2016-12-14,147.27877807617188,148.7302185009274,146.93726728015943,147.44953347417808,3550798
2016-12-15,146.8518829345703,148.98635797722395,145.05891868762055,147.53491755377982,3355724
2016-12-16,146.5957489013672,147.44953895091248,145.57120344747327,146.6811331174426,2681866
2016-12-19,147.10804748535156,147.62031376575493,145.91273344213576,146.8519078312479,2333841
2016-12-20,147.87644958496094,148.47410007716792,146.93728824800817,147.36418331784225,2592882
2016-12-21,145.22970581054688,148.13258703116003,145.14432158672741,147.87644738750512,1884906
2016-12-22,145.91273498535156,146.16887464216424,144.97357361411056,145.22971327092324,1649606
2016-12-23,145.22970581054688,146.25425135736307,144.71742652323704,145.8273562938727,913226
2016-12-27,145.74195861816406,146.25423785819083,144.8027973818513,144.97355278592613,830649
2016-12-28,146.25424194335938,146.76650816989252,144.80280142647823,145.40045187133487,1559263
2016-12-29,145.14434814453125,145.74199873721227,144.7174530029297,145.40048783505335,889362
2016-12-30,144.37591552734375,145.40046107305133,144.2051470798896,145.0589372059465,1304955
2017-01-02,145.0589141845703,146.0834725954802,143.9489976190869,144.37589261436554,893208
2017-01-03,146.25424194335938,147.27878742422828,145.48582306185577,145.82734690734713,1694855
2017-01-04,145.57122802734375,146.59577365423337,145.4004725941629,146.4250182210525,1215186
2017-01-05,142.75369262695312,145.40044697216965,142.66832143930876,145.3150627567231,977599
2017-01-09,141.89990234375,142.15604196185433,136.52102247476805,137.46019673188314,4802098
2017-01-10,141.64376831054688,143.09522186110024,141.30225749147706,142.32680297648918,2348870
2017-01-11,142.15606689453125,142.92447285581235,138.91166156104714,138.99704579132478,3334695
2017-01-12,140.44847106933594,142.3268066786844,140.19233143446957,141.47301658099846,2048086
2017-01-13,141.98532104492188,142.1560764891977,140.44849599082895,142.1560764891977,2044658
2017-01-16,141.38768005371094,142.07070187708234,140.87540065837618,141.72919096539664,1337519
2017-01-17,141.55841064453125,141.8999214962299,139.2531798260557,141.30227099185532,1839485
2017-01-18,142.49757385253906,142.75371350854385,140.53386688804522,141.98530756833358,2040401
2017-01-19,141.7291717529297,142.5829619442124,141.2168924270383,142.3268222812667,1410855
2017-01-20,141.47299194335938,142.0706423020976,140.70458620038173,141.47299194335938,1763793
2017-01-23,139.85081481933594,141.30225531977922,139.5092909777124,140.96074450595813,1685537
2017-01-24,142.241455078125,142.41221051562167,138.91166542181838,139.6800844322606,1966376
2017-01-25,143.7782440185547,144.54666290594125,142.49755890071316,143.69287282738023,2312756
2017-01-26,145.40045166015625,145.5712070687526,143.0098368563992,143.7782427089842,1880383
2017-01-27,142.92446899414062,146.68115355218004,142.66834236583682,145.31508407147405,2304394
2017-01-30,141.55841064453125,143.26599095863222,141.30227099185532,143.0098513059563,1392126
2017-01-31,141.38768005371094,141.98533066306402,140.6192609607088,141.38768005371094,2096415
2017-02-01,144.63204956054688,145.05894464546915,142.2414475072254,142.66834259214767,2400027
2017-02-02,140.53387451171875,141.98531527074476,137.63097996586194,140.44849027915055,6523484
2017-02-03,141.04612731933594,142.32681251841188,140.3630926076014,140.8753718983532,2697188
2017-02-06,140.02157592773438,141.55840070811158,139.5946808791742,141.0461214387182,1603009
2017-02-07,141.89990234375,143.69286664267804,140.10695107262413,140.10695107262413,2429016
2017-02-08,144.46127319335938,144.63202859701752,141.47300803203422,141.64376343569234,2282040
2017-02-09,144.71743774414062,145.31508827380628,143.86364755095985,144.8028219745805,2001226
2017-02-10,145.9981231689453,146.08350739946414,144.80282210850848,144.9735775417417,2001294
2017-02-13,148.47410583496094,149.41328023613832,147.7910841189819,148.55949006336039,2222323
2017-02-14,147.10804748535156,148.6448723821696,147.10804748535156,148.55948815486707,2106787
2017-02-15,147.87644958496094,148.1325892324221,146.76651979783165,148.1325892324221,1984724
2017-02-16,147.62030029296875,148.30333496563904,147.44954488175188,148.30333496563904,1708632
2017-02-17,148.81561279296875,149.49864745905668,147.6202988703642,147.6202988703642,2453710
2017-02-20,150.0963134765625,150.86471941324467,149.75478959418953,149.75478959418953,2487443
2017-02-21,151.20623779296875,151.9746437016873,150.09630801430583,150.09630801430583,2170081
2017-02-22,150.52322387695312,151.63315380896233,149.84018907050088,151.5477695727288,2120917
